overcrowding_by_bedrooms,rooms,overcrowding_by_rooms,bathroom,refrigerator,num_tablets,males_under_12,males_over_12,num_males,females_under_12,females_over_12,num_females,persons_under_12,persons_over_12,num_persons,years_school,ceiling,disable_person,female,under_10,num_minors,num_adults,num_over_65,mean_edu_adults,num_bedrooms,overcrowding_persons_per_room,computer,tv,num_mobile_phones,urban,age,Target,new_calc_dep,overall_condition,roof_material_fiber_cement,roof_material_metal,roof_material_natural_fibers_roof,roof_material_other_roof,elec_provider_cooperative,elec_provider_none_electricity,elec_provider_private_plant,elec_provider_public,wall_material_block_brick,wall_material_natural_fibers,wall_material_other_wall,wall_material_prefabricated_cement,wall_material_waste_material,wall_material_wood,wall_material_wood_zinc_absbesto,wall_material_zink,house_ownership_other_house,house_ownership_own,house_ownership_own_installments,house_ownership_precarious,house_ownership_rented,region_brunca,region_central,region_chorotega,region_huetar_atlantic,region_huetar_norte,region_pacific_central,water_supply_inside,water_supply_outside,water_supply_water_none,cooking_supply_charcoal,cooking_supply_electricity,cooking_supply_energy_none,cooking_supply_gas,floor_material_cement,floor_material_natural_material_floor,floor_material_none_floor,floor_material_other_floor,floor_material_tile,floor_material_wood_floor,sewage_letrine,sewage_no_toilet,sewage_other_sewage,sewage_septic_tank,sewage_sewer_cesspool,thrash_disposal_burning,thrash_disposal_hollow_buried,thrash_disposal_other_disposal,thrash_disposal_tanker truck,thrash_disposal_throwing_space
1,2,0,1,1,0.0,0,1,1,2,1,3,2,2,4,3,1,0,1,0,2,2,0,10.0,1,4.0,0,0,1,1,11,4,0.5,0.666666666667,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,0,0,0,0,2,2,0,2,2,12,1,0,1,0,1,1,0,23.0,2,1.0,0,0,1,1,18,4,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,0,0,0,0,2,2,0,2,2,11,1,0,1,0,1,1,0,23.0,2,1.0,0,0,1,1,34,4,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,1.0,0,1,1,0,1,1,0,2,2,4,0,0,1,0,0,2,1,9.5,2,1.0,0,0,1,1,79,4,0.5,1.33333333333,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,1.0,0,1,1,0,1,1,0,2,2,15,0,0,0,0,0,2,1,9.5,2,1.0,0,0,1,1,39,4,0.5,1.33333333333,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,2,0,1,1,0.0,0,2,2,0,2,2,0,4,4,11,1,0,0,0,2,2,1,17.0,1,4.0,0,0,1,1,19,4,0.25,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,2,0,1,1,0.0,0,2,2,0,2,2,0,4,4,2,1,0,0,0,2,2,1,17.0,1,4.0,0,0,1,1,70,4,0.25,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,2,0,1,1,0.0,0,2,2,0,2,2,0,4,4,11,1,0,1,0,2,2,1,17.0,1,4.0,0,0,1,1,19,4,0.25,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,2,0,1,1,0.0,0,2,2,0,2,2,0,4,4,10,1,0,1,0,2,2,1,17.0,1,4.0,0,0,1,1,50,4,0.25,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,0.0,0,1,1,0,1,1,0,2,2,12,1,0,1,0,0,2,0,13.5,2,1.0,0,0,2,1,22,4,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,0.0,0,1,1,0,1,1,0,2,2,15,1,0,0,0,0,2,0,13.5,2,1.0,0,0,2,1,26,4,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,0,1,1,0,1,1,0,2,2,4,1,0,0,0,0,2,2,10.0,1,2.0,0,0,1,1,69,4,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,0,1,1,0,1,1,0,2,2,16,1,0,1,0,0,2,2,10.0,1,2.0,0,0,1,1,66,4,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,1,0,1,0.0,0,2,2,0,1,1,0,3,3,6,1,0,0,0,0,3,0,10.333333,1,3.0,0,0,3,1,41,4,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,1,1,0,1,0.0,0,2,2,0,1,1,0,3,3,13,1,0,0,0,0,3,0,10.333333,1,3.0,0,0,3,1,20,4,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,1,1,0,1,0.0,0,2,2,0,1,1,0,3,3,12,1,0,1,0,0,3,0,10.333333,1,3.0,0,0,3,1,40,4,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,5,0,1,1,0.0,0,1,1,0,0,0,0,1,1,15,0,0,0,0,0,1,0,15.0,2,0.5,0,0,2,1,44,4,0.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,1.0,0,2,2,0,1,1,0,3,3,6,1,0,0,0,0,3,1,6.6666665,2,1.5,0,1,3,1,69,4,0.333333333333,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,1.0,0,2,2,0,1,1,0,3,3,6,1,0,1,0,0,3,1,6.6666665,2,1.5,0,1,3,1,62,4,0.333333333333,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,1.0,0,2,2,0,1,1,0,3,3,8,1,0,0,0,0,3,1,6.6666665,2,1.5,0,1,3,1,33,4,0.333333333333,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,1,1,0,1,1,0,2,2,8,1,0,0,0,0,2,0,9.5,2,1.0,0,0,2,1,35,4,0.0,1.66666666667,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,1,1,0,1,1,0,2,2,11,1,0,1,0,0,2,0,9.5,2,1.0,0,0,2,1,28,4,0.0,1.66666666667,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,4,4,0,1,1,0,5,5,1,1,0,0,0,1,4,0,5.25,3,1.6666666,0,0,3,1,28,4,0.0,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,4,4,0,1,1,0,5,5,11,1,0,0,0,1,4,0,5.25,3,1.6666666,0,0,3,1,56,4,0.0,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,4,4,0,1,1,0,5,5,6,1,0,0,0,1,4,0,5.25,3,1.6666666,0,0,3,1,30,4,0.0,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,4,4,0,1,1,0,5,5,0,1,0,0,0,1,4,0,5.25,3,1.6666666,0,0,3,1,19,4,0.0,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,4,4,0,1,1,0,5,5,3,1,0,1,0,1,4,0,5.25,3,1.6666666,0,0,3,1,52,4,0.0,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,0.0,0,2,2,0,1,1,0,3,3,6,1,0,1,0,1,2,0,7.0,2,1.5,0,0,2,1,36,4,0.0,0.666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,4,0,1,1,0.0,0,2,2,0,1,1,0,3,3,8,1,0,0,0,1,2,0,7.0,2,1.5,0,0,2,1,15,4,0.0,0.666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,4,0,1,1,0.0,0,2,2,0,1,1,0,3,3,8,1,0,0,0,1,2,0,7.0,2,1.5,0,0,2,1,37,4,0.0,0.666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,5,0,1,1,1.0,0,1,1,0,1,1,0,2,2,9,1,0,1,0,0,2,0,11.0,2,1.0,0,0,2,1,44,4,0.0,1.33333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,1,1,0,1,1,0,2,2,13,1,0,0,0,0,2,0,11.0,2,1.0,0,0,2,1,24,4,0.0,1.33333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,8,0,1,1,1.0,0,2,2,0,1,1,0,3,3,8,1,0,0,0,1,2,1,15.5,3,1.0,1,0,3,1,15,4,0.333333333333,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,8,0,1,1,1.0,0,2,2,0,1,1,0,3,3,15,1,0,1,0,1,2,1,15.5,3,1.0,1,0,3,1,76,4,0.333333333333,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,8,0,1,1,1.0,0,2,2,0,1,1,0,3,3,16,1,0,0,0,1,2,1,15.5,3,1.0,1,0,3,1,44,4,0.333333333333,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,0.0,0,1,1,0,1,1,0,2,2,17,1,0,0,0,0,2,2,10.0,2,1.0,0,0,1,1,69,4,1.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,4,0,1,1,0.0,0,1,1,0,1,1,0,2,2,3,1,1,1,0,0,2,2,10.0,2,1.0,0,0,1,1,94,4,1.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,1,1,1,1,2,1,2,3,16,1,0,1,0,1,2,0,13.5,2,1.5,0,0,2,1,45,4,0.333333333333,1.66666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,1,1,1,1,2,1,2,3,2,1,0,1,1,1,2,0,13.5,2,1.5,0,0,2,1,8,4,0.333333333333,1.66666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,1.0,0,1,1,1,1,2,1,2,3,11,1,0,0,0,1,2,0,13.5,2,1.5,0,0,2,1,48,4,0.333333333333,1.66666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,1,1,1,2,3,1,3,4,2,1,0,1,1,2,2,0,11.0,2,2.0,0,0,2,1,8,2,0.25,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,1,1,1,2,3,1,3,4,11,1,0,1,0,2,2,0,11.0,2,2.0,0,0,2,1,44,2,0.25,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,1,1,1,2,3,1,3,4,8,1,0,1,0,2,2,0,11.0,2,2.0,0,0,2,1,14,2,0.25,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,0,1,1,1,2,3,1,3,4,11,1,0,0,0,2,2,0,11.0,2,2.0,0,0,2,1,42,2,0.25,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,1,1,2,0,2,2,1,3,4,6,1,0,0,0,2,2,0,9.0,3,1.3333334,0,0,2,1,13,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,1,1,2,0,2,2,1,3,4,2,1,0,0,0,2,2,0,9.0,3,1.3333334,0,0,2,1,10,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,1,1,2,0,2,2,1,3,4,7,1,0,1,0,2,2,0,9.0,3,1.3333334,0,0,2,1,37,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,5,0,1,1,0.0,1,1,2,0,2,2,1,3,4,11,1,0,1,0,2,2,0,9.0,3,1.3333334,0,0,2,1,36,4,0.25,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0.0,0,1,1,0,0,0,0,1,1,7,1,0,0,0,0,1,1,7.0,1,1.0,0,0,0,1,71,2,1.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,3,0,1,1,0.0,0,1,1,0,1,1,0,2,2,14,1,0,1,0,0,2,0,10.0,1,2.0,0,1,2,1,30,4,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,0,1,1,0,1,1,0,2,2,6,1,0,0,0,0,2,0,10.0,1,2.0,0,1,2,1,29,4,0.0,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,6,0,1,1,2.0,0,2,2,0,1,1,0,3,3,14,1,0,1,0,0,3,1,13.0,3,1.0,1,1,3,1,55,4,0.333333333333,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,6,0,1,1,2.0,0,2,2,0,1,1,0,3,3,11,1,0,0,0,0,3,1,13.0,3,1.0,1,1,3,1,70,4,0.333333333333,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,6,0,1,1,2.0,0,2,2,0,1,1,0,3,3,14,1,0,0,0,0,3,1,13.0,3,1.0,1,1,3,1,26,4,0.333333333333,1.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,6,0,1,1,0.0,0,0,0,0,1,1,0,1,1,9,1,0,1,0,0,1,1,9.0,3,0.33333334,0,0,1,1,71,2,1.0,1.66666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,1,1,2,1,2,3,2,3,5,9,1,0,1,0,2,3,0,9.0,2,2.5,0,0,5,1,30,4,0.4,2.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,1,1,2,1,2,3,2,3,5,5,1,0,0,0,2,3,0,9.0,2,2.5,0,0,5,1,11,4,0.4,2.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,1,1,2,1,2,3,2,3,5,0,1,0,1,1,2,3,0,9.0,2,2.5,0,0,5,1,1,4,0.4,2.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,1,1,0.0,1,1,2,1,2,3,2,3,5,9,1,0,0,0,2,3,0,9.0,2,2.5,0,0,5,1,29,4,0.4,2.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
